,instance,method,depth
238,008_100nodes_random3regular.json,I_MPS.json,6
8,008_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
198,008_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
278,008_100nodes_random3regular.json,LR_PP_angle_opt.json,6
158,008_100nodes_random3regular.json,RTS_MPS.json,6
48,008_100nodes_random3regular.json,RTS_MPSAer.json,6
318,008_100nodes_random3regular.json,RTS_PP.json,6
127,008_100nodes_random3regular.json,TQA_MPS_opt.json,6
109,008_70nodes_erdosrenyi20percent.json,F_MPS.json,6
258,008_70nodes_erdosrenyi20percent.json,I_MPS.json,6
29,008_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
219,008_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
298,008_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
178,008_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
69,008_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
338,008_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
143,008_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
101,008_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
251,008_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
21,008_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
211,008_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
291,008_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
171,008_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
61,008_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
331,008_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
102,009_100nodes_2swap_layers.json,F_MPS.json,6
252,009_100nodes_2swap_layers.json,I_MPS.json,6
23,009_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
212,009_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
293,009_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
172,009_100nodes_2swap_layers.json,RTS_MPS.json,6
66,009_100nodes_2swap_layers.json,RTS_MPSAer.json,6
332,009_100nodes_2swap_layers.json,RTS_PP.json,6
138,009_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
89,009_100nodes_random3regular.json,F_MPS.json,6
239,009_100nodes_random3regular.json,I_MPS.json,6
9,009_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
199,009_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
279,009_100nodes_random3regular.json,LR_PP_angle_opt.json,6
159,009_100nodes_random3regular.json,RTS_MPS.json,6
49,009_100nodes_random3regular.json,RTS_MPSAer.json,6
319,009_100nodes_random3regular.json,RTS_PP.json,6
128,009_100nodes_random3regular.json,TQA_MPS_opt.json,6
111,009_70nodes_erdosrenyi20percent.json,F_MPS.json,6
261,009_70nodes_erdosrenyi20percent.json,I_MPS.json,6
31,009_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
221,009_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
301,009_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
