evaluation,method,instance
MPS,IAer.json,006_40nodes_12swap_layers.json
MPS,IAer.json,006_40nodes_8swap_layers.json
MPS,IAer.json,007_40nodes_12swap_layers.json
MPS,IAer.json,007_40nodes_8swap_layers.json
MPS,IAer.json,008_40nodes_12swap_layers.json
MPS,IAer.json,008_40nodes_8swap_layers.json
MPS,IAer.json,009_40nodes_12swap_layers.json
MPS,IAer.json,009_40nodes_8swap_layers.json
PP,LR_opt.json,000_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,001_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,002_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,003_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,004_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,005_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,006_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,007_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,008_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,009_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,000_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,000_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,001_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,001_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,002_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,002_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,003_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,003_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,004_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,004_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,005_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,005_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,006_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,006_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,007_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,007_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,008_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,008_50nodes_erdosrenyi20percent.json
PP,FA_opt.json,009_40nodes_erdosrenyi20percent.json
PP,FA_opt.json,009_50nodes_erdosrenyi20percent.json
PP,LR_opt.json,000_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,001_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,002_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,003_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,004_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,005_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,006_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,007_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,008_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,009_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,000_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,000_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,001_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,001_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,002_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,002_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,003_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,003_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,004_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,004_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,005_4_1_heavyhex_39nodes_weighted.json
