,instance,method,depth
377,003_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
27,003_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
146,003_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
297,004_100nodes_2swap_layers.json,F_MPS.json,6
407,004_100nodes_2swap_layers.json,I_MPS.json,6
57,004_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
97,004_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
447,004_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
257,004_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
217,004_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
177,004_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
367,004_100nodes_2swap_layers.json,RTS_MPS.json,6
17,004_100nodes_2swap_layers.json,RTS_MPSAer.json,6
137,004_100nodes_2swap_layers.json,RTS_PP.json,6
333,004_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
293,004_100nodes_random3regular.json,F_MPS.json,6
403,004_100nodes_random3regular.json,I_MPS.json,6
53,004_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
93,004_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
443,004_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
253,004_100nodes_random3regular.json,LR_MPS_no_opt.json,6
213,004_100nodes_random3regular.json,LR_PP_angle_opt.json,6
173,004_100nodes_random3regular.json,LR_PP_no_opt.json,6
363,004_100nodes_random3regular.json,RTS_MPS.json,6
13,004_100nodes_random3regular.json,RTS_MPSAer.json,6
133,004_100nodes_random3regular.json,RTS_PP.json,6
330,004_100nodes_random3regular.json,TQA_MPS_opt.json,6
282,004_70nodes_erdosrenyi20percent.json,F_MPS.json,6
392,004_70nodes_erdosrenyi20percent.json,I_MPS.json,6
42,004_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
82,004_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
432,004_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
242,004_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
202,004_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
162,004_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
